date;session_start_time;session_end_time;duration_seconds;counted_in_total;algorithm_segment;threshold_seconds;method2_session_order;source;event_count;start_event_id;end_event_id;start_action;end_action;session_id;connection_id;username;user_id;stoys_id;path;browser;os;os_version;device_model;country;city;ip;user_agent;brand;branch;user_type;school_name;grade;class_name
12.01.2026;2026-01-12T07:06:23.530000Z;2026-01-12T07:06:30.147000Z;6;TRUE;post_switch_connect_disconnect;300;39;events;2;69649d6fc7c07125fe082a9e;69649d7633e33102840151bc;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD2JVdhbDoECItw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:10:50.465000Z;2026-01-12T07:10:53.774000Z;3;TRUE;post_switch_connect_disconnect;300;40;events;2;69649e7a33e33102840151c7;69649e7d71259c2f620289f1;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD2zDdOdDoECJ6g=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:11:00.218000Z;2026-01-12T07:11:01.119000Z;0;TRUE;post_switch_connect_disconnect;300;41;events;2;69649e849abc20cc3e06d5ed;69649e85090666cd1b0b1d83;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD20FcfdDoECJvA=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:11:05.603000Z;2026-01-12T07:11:18.242000Z;12;TRUE;post_switch_connect_disconnect;300;42;events;2;69649e89f60d8fbeaf0f570d;69649e96d92f3dc9c7047d3d;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD20keQQDoECGYA=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:11:18.866000Z;2026-01-12T07:11:21.435000Z;2;TRUE;post_switch_connect_disconnect;300;43;events;2;69649e9667b49c7a9e05c993;69649e995cafec72b507971e;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD23ZcaHjoECH6A=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:11:39.656000Z;2026-01-12T07:11:47.543000Z;7;TRUE;post_switch_connect_disconnect;300;44;events;2;69649eab2e3fc616bb027c3e;69649eb39f9ba1729f08e410;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD26xfOODoECG0g=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:11:52.479000Z;2026-01-12T07:11:54.975000Z;2;TRUE;post_switch_connect_disconnect;300;45;events;2;69649eb860afbe6f300f1ffd;69649eba8aaf0c9d660b81d0;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD28icGADoECHAQ=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:11:54.638000Z;2026-01-12T07:11:57.310000Z;2;TRUE;post_switch_connect_disconnect;300;46;events;2;69649eba6bbec02d7c0d2113;69649ebdd51bf561bf059d0f;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD29Hc_7joECJng=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:12:00.934000Z;2026-01-12T07:12:04.997000Z;4;TRUE;post_switch_connect_disconnect;300;47;events;2;69649ec04891c992c70b4ca8;69649ec40b550aabf506e1d5;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD2-GcMmjoECFHg=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
12.01.2026;2026-01-12T07:37:25.492000Z;2026-01-12T07:37:29.057000Z;3;TRUE;post_switch_connect_disconnect;300;48;events;2;6964a4b5cb23421693005528;6964a4b99f9ba1729f08e466;Connect;Disconnect;web_01KERB1H85DE4YAQFKGSFFW0JA;XD6sUcB5DoECI2Q=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
