date,connectedAt,disconnectedAt,spentTimeSeconds,connectionId,sessionId,path,browser,os,os_version,device_type,device_model,country,city,ip,user_agent
2026-01-09,2026-01-09T13:24:25.835+00:00,,,W60tgdxjDoECF9w=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T13:24:28.646+00:00,2.811,W60tgdxjDoECF9w=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T13:55:20.858+00:00,,,W65PSfAkjoECG_Q=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T13:55:24.465+00:00,3.607,W65PSfAkjoECG_Q=,web_01KEGWBHWT7XQ3YYZ1E9YWEFA5,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T05:32:15.780+00:00,,,XDoWudVbDoECEOw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T05:32:20.160+00:00,4.380,XDoWudVbDoECEOw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T05:46:46.623+00:00,,,XDqe-eYQjoECJAQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T05:46:52.842+00:00,6.219,XDqe-eYQjoECJAQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T05:47:06.556+00:00,,,XDqiKfqOjoECE7A=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T05:47:08.444+00:00,,,XDqibemLDoECEJQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T05:47:09.396+00:00,2.840,XDqiKfqOjoECE7A=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T05:47:15.405+00:00,6.961,XDqibemLDoECEJQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T05:47:19.939+00:00,,,XDqkQdD4DoECFdQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T05:47:28.535+00:00,8.596,XDqkQdD4DoECFdQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T06:01:39.557+00:00,,,XDsqkerOjoECFFA=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T06:01:42.036+00:00,2.479,XDsqkerOjoECFFA=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T06:01:53.590+00:00,,,XDssxdxZjoECFEA=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T06:01:57.460+00:00,3.870,XDssxdxZjoECFEA=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T06:04:40.782+00:00,,,XDtGzcjKDoECIRw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T06:04:45.777+00:00,4.995,XDtGzcjKDoECIRw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T06:05:03.487+00:00,,,XDtKXeAmjoECI8g=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T06:05:05.323+00:00,,,XDtKmcUiDoECFdQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T06:05:06.485+00:00,2.998,XDtKXeAmjoECI8g=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T06:05:08.437+00:00,3.114,XDtKmcUiDoECFdQ=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T06:59:57.956+00:00,,,XD1NHfJ7joECGQw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T07:00:02.807+00:00,,,XD1Nwe3vjoECJ-Q=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T07:00:03.621+00:00,5.665,XD1NHfJ7joECGQw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T07:00:05.806+00:00,2.999,XD1Nwe3vjoECJ-Q=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T07:00:13.680+00:00,,,XD1PocGAjoECHNw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T07:00:15.977+00:00,,,XD1OLdvtjoECELw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T07:00:21.266+00:00,7.586,XD1PocGAjoECHNw=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T07:00:29.808+00:00,,,XD1SFd-SjoEAdHg=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T07:00:36.202+00:00,6.394,XD1SFd-SjoEAdHg=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T07:00:41.051+00:00,,,XD1T6ckEjoECIYA=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,,2026-01-12T07:01:01.259+00:00,20.208,XD1T6ckEjoECIYA=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-12,2026-01-12T07:01:06.034+00:00,,,XD1XYfD3DoECJjg=,web_01KERB1H85DE4YAQFKGSFFW0JA,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
